Date,AAPL,MSFT,AMZN,GOOG,FB,NFLX,NVDA
2015-01-02,24.745990753173828,41.1938362121582,308.5199890136719,523.3731079101562,78.44999694824219,49.84857177734375,4.839469909667969
2015-01-05,24.048864364624023,40.81501388549805,302.19000244140625,512.4630126953125,77.19000244140625,47.31142807006836,4.7577314376831055
2015-01-06,24.05112648010254,40.21597671508789,295.2900085449219,500.58563232421875,76.1500015258789,46.50143051147461,4.613485336303711
2015-01-07,24.388368606567383,40.72692108154297,298.4200134277344,499.7279968261719,76.1500015258789,46.74285888671875,4.6014628410339355
2015-01-08,25.325429916381836,41.925045013427734,300.4599914550781,501.3036804199219,78.18000030517578,47.779998779296875,4.774561405181885
2015-01-09,25.352588653564453,41.572654724121094,296.92999267578125,494.8114929199219,77.73999786376953,47.04142761230469,4.793792724609375
2015-01-12,24.727890014648438,41.05288314819336,291.4100036621094,491.201416015625,76.72000122070312,45.547142028808594,4.733688831329346
2015-01-13,24.94744300842285,40.841453552246094,294.739990234375,494.82147216796875,76.44999694824219,46.255714416503906,4.726478099822998
2015-01-14,24.852380752563477,40.489070892333984,293.2699890136719,499.4986267089844,76.27999877929688,46.31999969482422,4.7457098960876465
2015-01-15,24.17788314819336,40.06620407104492,286.95001220703125,500.4161071777344,74.05000305175781,46.25143051147461,4.712052345275879
2015-01-16,23.990015029907227,40.735740661621094,290.739990234375,506.6888732910156,75.18000030517578,48.191429138183594,4.798600673675537
2015-01-20,24.607927322387695,40.867889404296875,289.44000244140625,505.5121154785156,76.23999786376953,49.82857131958008,4.813024997711182
2015-01-21,24.795793533325195,40.453834533691406,297.25,516.6216430664062,76.73999786376953,58.468570709228516,4.880341053009033
2015-01-22,25.440868377685547,41.51979446411133,310.32000732421875,532.9268188476562,77.6500015258789,61.20571517944336,4.964483261108398
2015-01-23,25.57215118408203,41.563838958740234,312.3900146484375,538.4716186523438,77.83000183105469,62.494285583496094,4.978909015655518
2015-01-26,25.599302291870117,41.41407012939453,309.6600036621094,533.74462890625,77.5,63.79428482055664,4.957271575927734
2015-01-27,24.702993392944336,37.5818977355957,306.75,517.2100219726562,75.77999877929688,64.88143157958984,4.719266414642334
2015-01-28,26.099519729614258,36.286865234375,303.9100036621094,508.6036376953125,76.23999786376953,63.20857238769531,4.642334461212158
2015-01-29,26.912092208862305,37.00926208496094,311.7799987792969,509.2618103027344,78.0,63.400001525878906,4.755327224731445
2015-01-30,26.51825714111328,35.59091567993164,354.5299987792969,533.0565185546875,75.91000366210938,63.11428451538086,4.6158881187438965
2015-02-02,26.850975036621094,36.366153717041016,364.4700012207031,527.0330200195312,74.98999786376953,63.0099983215332,4.716862201690674
2015-02-03,26.85550308227539,36.6480712890625,363.54998779296875,527.7909545898438,75.4000015258789,65.27428436279297,4.834663391113281
2015-02-04,27.06147575378418,36.8594970703125,364.75,521.3286743164062,75.62999725341797,64.10143280029297,4.846682071685791
2015-02-05,27.25463104248047,37.39689254760742,373.8900146484375,526.135498046875,75.61000061035156,64.12999725341797,4.926017761230469
2015-02-06,27.02511978149414,37.36164093017578,374.2799987792969,529.546142578125,74.47000122070312,63.47999954223633,4.90438175201416
2015-02-09,27.204641342163086,37.31760025024414,370.55999755859375,526.3848266601562,74.44000244140625,63.29571533203125,4.899572849273682
2015-02-10,27.727275848388672,37.52903366088867,373.0,535.4698486328125,75.19000244140625,64.8499984741211,5.036608695983887
2015-02-11,28.37717628479004,37.335227966308594,375.1400146484375,534.5025024414062,76.51000213623047,64.98428344726562,5.002950191497803
2015-02-12,28.736204147338867,37.96070861816406,377.1700134277344,541.4434814453125,76.2300033569336,65.24714660644531,5.361161708831787
2015-02-13,28.877086639404297,38.647857666015625,381.8299865722656,547.5068359375,75.73999786376953,66.5857162475586,5.3635663986206055
2015-02-17,29.04751968383789,38.66560745239258,375.42999267578125,541.3536987304688,75.5999984741211,67.13714599609375,5.380393981933594
2015-02-18,29.249759674072266,38.621238708496094,373.3699951171875,538.2222900390625,76.70999908447266,67.86571502685547,5.317889213562012
2015-02-19,29.188404083251953,38.59461212158203,379.0,541.3836059570312,79.41999816894531,67.80000305175781,5.332312107086182
2015-02-20,29.427000045776367,38.914024353027344,383.6600036621094,537.474365234375,79.9000015258789,68.31428527832031,5.3707780838012695
2015-02-23,30.222322463989258,39.17131423950195,380.1400146484375,530.45361328125,78.83999633789062,67.40571594238281,5.3275041580200195
2015-02-24,30.033716201782227,39.118099212646484,378.5899963378906,534.6221923828125,78.44999694824219,67.83999633789062,5.384218215942383
2015-02-25,29.265661239624023,39.02936553955078,385.3699951171875,542.3809204101562,79.55999755859375,68.33285522460938,5.3431901931762695
2015-02-26,29.636056900024414,39.09145736694336,384.79998779296875,553.9591064453125,80.41000366210938,69.00428771972656,5.357672214508057
2015-02-27,29.190675735473633,38.9051513671875,380.1600036621094,556.87109375,78.97000122070312,67.84428405761719,5.323884963989258
2015-03-02,29.333831787109375,38.9317741394043,385.6600036621094,569.7756958007812,79.75,68.60713958740234,5.454207420349121
2015-03-03,29.395185470581055,38.39942169189453,384.6099853515625,572.0693969726562,79.5999984741211,67.81571197509766,5.352845668792725
2015-03-04,29.2088565826416,38.20423126220703,382.7200012207031,571.8001098632812,80.9000015258789,67.11000061035156,5.413179397583008
2015-03-05,28.724838256835938,38.24860382080078,387.8299865722656,573.7547607421875,81.20999908447266,66.80714416503906,5.5169548988342285
2015-03-06,28.768016815185547,37.58317947387695,380.0899963378906,566.1306762695312,80.01000213623047,64.87428283691406,5.442139625549316
